GenName	ExpressionLevel
GENE.203	6.81630140993844e-08
GENE.204	3.66546608309808e-05
GENE.205	5.85349883563003e-06
GENE.206	4.36243290224958e-06
GENE.207	6.91854593090017e-06
GENE.208	2.63450049487199e-05
GENE.209	0.0
GENE.210	0.0
GENE.211	2.85006602695603e-05
GENE.212	0.00012195215259736
GENE.213	3.77367486797796e-05
GENE.214	2.28686912297398e-05
GENE.215	3.37406919783019e-06
GENE.216	3.4677933422201e-06
GENE.217	0.0
GENE.218	7.88390461806303e-05
GENE.219	4.40503478604977e-06
GENE.220	9.20200690318011e-06
GENE.221	9.02307899116987e-06
GENE.222	9.19348652640966e-06
GENE.223	9.61098498775993e-06
GENE.224	2.35247602404301e-05
GENE.225	4.43059591639927e-07
GENE.226	8.33292847343074e-06
GENE.227	5.19742982489808e-07
GENE.228	5.11222605801762e-08
GENE.229	0.0
GENE.230	8.52037676003781e-09
GENE.231	7.89157295714897e-05
GENE.232	7.90861371067295e-05
GENE.233	7.95121559448407e-05
GENE.234	7.91287389905497e-05
GENE.235	1.70407535200756e-08
GENE.236	8.52037676203274e-08
GENE.237	3.61093567181996e-05
GENE.238	3.61519586020102e-05
GENE.239	5.87905996599601e-07
GENE.240	9.37241443803652e-08
GENE.241	8.26476545930099e-07
GENE.242	8.52037676957879e-09
GENE.243	8.52037676003781e-09
GENE.244	9.37241443803652e-08
GENE.245	1.70407535296166e-08
GENE.246	2.81172433149769e-07
GENE.247	5.23151133199028e-06
GENE.248	1.20989350022981e-06
GENE.249	5.4530411278033e-07
GENE.250	0.0
GENE.251	0.0
GENE.252	3.40815070496922e-08
GENE.253	8.52037676003781e-09
GENE.254	1.76286595209903e-05
GENE.255	7.66833908602896e-08
GENE.256	3.94578647857496e-05
GENE.257	2.36099640080504e-05
GENE.258	1.42375495696297e-05
GENE.259	1.59160637917899e-05
GENE.260	4.11534197615037e-06
GENE.261	8.06879679379931e-06
GENE.262	3.01280522311299e-05
GENE.263	8.52037677044615e-09
GENE.264	4.2942698881502e-06
GENE.265	2.77253059841895e-05
GENE.266	9.09976238203016e-06
GENE.267	3.15083532666099e-05
GENE.268	8.52037676003781e-09
GENE.269	1.823360627111e-05
GENE.270	1.70407535296166e-08
GENE.271	0.00236961050171199
GENE.272	0.00044225867621871
GENE.273	2.12839011519694e-05
GENE.274	1.95116627854999e-06
GENE.275	0.0
GENE.276	0.0
GENE.277	1.08208784879021e-06
GENE.278	1.10424082838088e-05
GENE.279	1.30106153158806e-05
GENE.280	8.52037677044615e-09
GENE.281	7.16648889468492e-05
GENE.282	8.14548018467087e-06
GENE.283	5.43600037427976e-06
GENE.284	5.43600037427976e-06
GENE.285	5.11222605706352e-08
GENE.286	2.34225157192888e-05
GENE.287	2.34225157192802e-05
GENE.288	2.34310360960506e-05
GENE.289	5.38658218906304e-05
GENE.290	4.5123915332599e-05
GENE.291	6.43629260616597e-05
GENE.292	6.76517914918046e-06
GENE.293	6.76517914919086e-06
GENE.294	2.89011179773792e-05
GENE.295	8.52889713895931e-06
GENE.296	1.06249098224612e-05
GENE.297	2.05255876201405e-05
GENE.298	4.85661475438381e-07
GENE.299	8.52037677044615e-09
GENE.300	8.52037676003781e-09
GENE.301	1.0991286023207e-06
GENE.302	5.83645808210909e-06
GENE.303	7.89838925856039e-06
GENE.304	1.60864713270297e-05
GENE.305	2.04489042291214e-07
GENE.306	7.16052463095185e-05
GENE.307	2.18121645112999e-06
GENE.308	8.52037676211947e-08
GENE.309	4.26018838088627e-08
GENE.310	7.37864627606104e-06
GENE.311	6.25395654346023e-06
GENE.312	2.08408415603399e-05
GENE.313	0.00029843471647277
GENE.314	7.35990144719e-05
GENE.315	7.30111084752995e-05
GENE.316	8.97280876827004e-05
GENE.317	3.46268111615991e-05
GENE.318	4.79441600409001e-05
GENE.319	4.12215827755007e-05
GENE.320	3.79156765920041e-06
GENE.321	8.52037669932248e-09
GENE.322	8.52037679993645e-09
GENE.323	1.79779949682005e-05
GENE.324	0.0
GENE.325	0.0
GENE.326	8.26476545999488e-07
GENE.327	8.52037669932248e-09
GENE.328	7.66833909010556e-08
GENE.329	0.0
GENE.330	0.0
GENE.331	3.45927296539934e-06
GENE.332	1.94861016552007e-05
GENE.333	1.94861016551001e-05
GENE.334	9.15088464259993e-06
GENE.335	1.17240384247992e-05
GENE.336	6.00856969271008e-05
GENE.337	5.84071827047991e-05
GENE.338	9.88363704420084e-06
GENE.339	8.64818241359984e-06
GENE.340	9.86659629059923e-06
GENE.341	1.17581199320094e-06
GENE.342	1.21841387699939e-06
GENE.343	3.60923159647003e-05
GENE.344	2.87988734560055e-06
GENE.345	8.52037679993645e-09
GENE.346	8.52037669932248e-09
GENE.347	7.98700117688993e-05
GENE.348	0.0001968292235836
GENE.349	0.0002137762529635
GENE.350	0.0002249805484059
GENE.351	8.79302881860028e-06
GENE.352	7.08895346620067e-06
GENE.353	1.03948596497996e-05
GENE.354	1.75093742464001e-05
GENE.355	9.78991289969991e-06
GENE.356	2.34225157192992e-05
GENE.357	3.82990935461e-05
GENE.358	6.26247692020118e-06
GENE.359	4.68620721899224e-07
GENE.360	3.05029488090018e-06
GENE.361	6.79755658088005e-05
GENE.362	1.4629486900699e-05
GENE.363	1.37604084709999e-05
GENE.364	0.0001042808911925
GENE.365	1.71770795526008e-05
GENE.366	8.52037679993645e-09
GENE.367	1.20052108578995e-05
GENE.368	1.19029663367999e-05
GENE.369	2.89692809900266e-07
GENE.370	2.27494059550082e-06
GENE.371	1.04715430407996e-05
GENE.372	1.04800634175006e-05
GENE.373	1.55922894749978e-06
GENE.374	1.27805651398832e-07
GENE.375	0.000116908089554101
GENE.376	9.71322950899314e-07
GENE.377	2.50328669274009e-05
GENE.378	2.06533932714994e-05
